status,Accept.,I..low.state.,I..high...low.,S.N,Nb.d,tau_on.median..s.,tau_off.median..s.,tau_on.max..s.,tau_off.max..s.,tau_on_CV,tau_off_CV
Methylated,N,86.39933424,391.0848972,2.730113308,24,5,16,156,92.4,2.048915014,1.014074415
Methylated,Y,105.3150272,199.143663,1.748564647,21,11.2,18,38.4,154,0.876568347,1.157896176
Methylated,Y,90.2496861,425.6919295,2.123326648,18,11.2,38.2,33.6,138.8,0.792581753,0.985499938
Methylated,Y,72.72529744,332.182846,2.286829514,18,27.2,25.8,58.8,134,0.918660605,1.09954075
Methylated,Y,45.34016221,492.4291444,2.364736185,20,22.6,22,60.8,107.6,0.773200819,1.058712822
Methylated,Y,134.6948997,526.2701807,2.562679942,16,7.8,44.8,98.8,107.6,1.621432649,0.774806978
Methylated,N,-16.97560816,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,320.002045,513.0545134,2.617249098,28,9.8,8.8,65.6,150.4,1.161742913,1.544698203
Methylated,N,-27.30300329,NA,NA,0,NA,600,NA,600,NA,0
Methylated,N,-20.30950456,190.5017719,2.726807264,15,8,10.2,100.4,246.8,1.551996917,1.68377551
Methylated,Y,-20.86159416,236.0842146,2.499067797,14,5.6,65.8,36,118,1.163138078,0.569843418
Methylated,N,-15.57320007,300.3574354,1.726515907,6,3.6,92.4,158.4,231.2,1.643401168,0.812336495
Methylated,Y,10.84311648,367.2550043,2.302214347,17,15.2,22,84.8,150,1.083520448,1.369490248
Methylated,Y,184.5198924,431.2884061,2.516871176,16,6.4,28.4,85.2,149.2,1.503213096,0.956844583
Methylated,N,5.215847315,162.5486854,2.877201856,9,4.8,100,50,142,1.264501617,0.293455976
Methylated,Y,132.5126047,303.4777244,2.267420485,16,6,32.8,30,151.6,1.024688325,0.943277447
Methylated,Y,58.56628711,446.477689,2.335886103,18,16.8,27.6,126,98.4,1.295452531,0.883369828
Methylated,Y,126.5336436,287.1409678,1.775214853,10,19.2,40.8,100.8,184,1.147399983,0.940643878
Methylated,N,652.1276938,333.4583389,1.622905677,9,22,89.2,57.2,208.8,0.96775845,0.950524561
Methylated,Y,114.185787,373.2625495,2.291982507,18,8.8,14.8,52.8,177.6,0.996615517,1.347891062
Methylated,N,-61.47293933,192.9035204,2.558037451,2,105.6,247.2,105.6,390,0,0.816948611
Methylated,Y,46.04642128,489.1761001,2.77988644,14,13.2,61,137.2,108.8,1.702012298,0.765203482
Methylated,N,16.26044065,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,237.0061298,611.4462751,2.579957971,14,38,29.2,54.8,113.6,0.415586345,1.056660223
Methylated,N,214.5195413,632.5715552,3.029218143,33,10.4,6.8,57.6,50.4,1.035809137,0.989972751
Methylated,Y,318.8770997,590.0913532,2.781072248,25,9.6,22.8,38,128.4,0.941244578,1.110856564
Methylated,Y,9.467771901,286.9103619,1.760827911,14,5.6,68.8,64.4,115.2,1.428975415,0.543677483
Methylated,N,-47.53827921,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,206.6795573,493.0495401,2.138756424,12,28.8,66.4,118.4,122.4,1.022231078,0.912942198
Methylated,N,-3.381719364,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,39.20967005,539.8581806,2.309321088,8,77,68.8,103.6,148,0.690693759,0.771863368
Methylated,Y,8.708222745,425.0815147,2.292183045,8,45.8,81.6,90.4,179.2,0.759179002,0.932129378
Methylated,Y,-1.279284177,523.3819513,2.482444045,24,12.4,21.6,82.4,100.4,1.055061343,1.057234245
Methylated,N,78.89365092,452.1346019,2.982594114,15,4,12.6,107.2,334.4,1.99599895,2.009044069
Methylated,N,-39.46208151,NA,NA,0,NA,600,NA,600,NA,0
Methylated,Y,-35.02458143,311.5220426,3.429027579,18,2.8,34.4,55.2,148.8,1.459640709,0.940577266
Methylated,Y,96.86499721,449.9604993,2.946420822,40,3.2,15.2,48.4,57.6,1.44198336,0.817810271
Methylated,N,184.5788285,477.2258158,2.156948227,7,27.8,64.4,110,295.6,1.139976807,1.248464804
Methylated,N,60.16798848,419.5491108,1.693236926,10,12.8,23.6,73.2,211.6,1.185296737,1.241058784
